yardId,railId,coordinates
baileyYard,137154283,"41.1500487,-100.8101633,41.1502113,-100.8103798,41.1508507,-100.8112697,41.1522872,-100.8132779,41.1524627,-100.8135502,41.1526406,-100.8138521,41.1527973,-100.8141464,41.1529196,-100.8144133,41.1530232,-100.8146499,41.1531287,-100.8149375,41.1532117,-100.8151974,41.1532842,-100.8529509,41.1532951,-100.8526682,41.1533017,-100.815492,41.1533132,-100.8523731,41.1533173,-100.8521264,41.1533257,-100.8511276,41.1533733,-100.8157416,41.1534393,-100.8160711,41.1534518,-100.8361808,41.1534599,-100.8355801,41.1534619,-100.8353117,41.1534744,-100.8349804,41.1535088,-100.8165121,41.1535092,-100.8345779,41.1535791,-100.8170215,41.153798,-100.831161,41.1542309,-100.8219426,41.1542624,-100.8256599,41.1542687,-100.822294,41.1543004,-100.822657,41.1543105,-100.8250844,41.1543184,-100.8230398,41.1543344,-100.8246219,41.1543424,-100.8234547,41.1543443,-100.8242301,41.1543483,-100.8237847"
baileyYard,137154286,"41.1503565,-100.8108418,41.1505,-100.8110967,41.1507003,-100.8114462,41.1507236,-100.8114834,41.1521303,-100.8134659,41.1522992,-100.813728,41.1524711,-100.8140197,41.1526206,-100.8143005,41.152738,-100.8145567,41.1528367,-100.814782,41.1529364,-100.8150538,41.1530166,-100.8153049,41.153051,-100.8548992,41.1530754,-100.8544907,41.1530911,-100.8539288,41.1530911,-100.8543124,41.1530945,-100.8542178,41.1531051,-100.8155948,41.1531163,-100.8511254,41.153172,-100.8158279,41.153186,-100.8433609,41.1532337,-100.816136,41.1532406,-100.8361766,41.1532486,-100.8355762,41.1532507,-100.8353032,41.1532637,-100.8349573,41.1532993,-100.8345462,41.1533015,-100.8165662,41.1533712,-100.8170711,41.153588,-100.8311297,41.1540222,-100.8219867,41.1540524,-100.8256287,41.1540592,-100.82233,41.1540899,-100.822682,41.1541001,-100.8250593,41.1541077,-100.8230593,41.1541234,-100.8246076,41.1541314,-100.8234688,41.1541331,-100.8242237,41.1541371,-100.8237863"
baileyYard,137154288,"41.1497772,-100.8092478,41.1499303,-100.8094636,41.1500768,-100.8096511,41.1503244,-100.8099799,41.1510581,-100.8110237,41.1524949,-100.813029,41.1526791,-100.8133149,41.1528649,-100.8136303,41.1530312,-100.8139424,41.1531599,-100.8142233,41.1532701,-100.814475,41.1533833,-100.8147836,41.15347,-100.8150551,41.1535619,-100.8153561,41.1535806,-100.8429076,41.1536263,-100.8425938,41.1536398,-100.8156274,41.1536593,-100.8422609,41.1537114,-100.8159853,41.1537314,-100.8361863,41.1537395,-100.8355853,41.1537415,-100.8353228,41.1537532,-100.8350109,41.1537833,-100.8164405,41.153787,-100.8346198,41.1538544,-100.8169559,41.1540759,-100.8312024,41.1545071,-100.8218841,41.1545403,-100.825701,41.154546,-100.8222464,41.154579,-100.8226241,41.1545891,-100.8251176,41.1545973,-100.823014,41.1546137,-100.8246409,41.1546218,-100.8234361,41.1546239,-100.8242386,41.154628,-100.8237825"
baileyYard,137154289,"41.1499922,-100.8094827,41.1503676,-100.8099245,41.1511054,-100.8109689,41.1525395,-100.8129756,41.1527256,-100.8132644,41.1529131,-100.8135827,41.1530814,-100.8138986,41.1532115,-100.8141826,41.1533231,-100.8144374,41.153438,-100.8147505,41.1535255,-100.8150246,41.1536178,-100.8153269,41.1536593,-100.8422609,41.1536971,-100.8156029,41.1537151,-100.8418535,41.1537495,-100.8412795,41.1537699,-100.8159669,41.1537816,-100.8374815,41.1537995,-100.8355864,41.1538015,-100.8353252,41.1538191,-100.835012,41.1538422,-100.8164252,41.1538467,-100.8346288,41.1539135,-100.8169418,41.1541355,-100.8312113,41.1545664,-100.8218716,41.1545999,-100.8257099,41.1546056,-100.8222361,41.1546388,-100.822617,41.1546489,-100.8251247,41.1546573,-100.8230084,41.1546737,-100.824645,41.1546818,-100.823432,41.154684,-100.8242404,41.1546881,-100.823782"
baileyYard,137154290,"41.1495843,-100.8092963,41.149649,-100.8093884,41.1497995,-100.8096406,41.1499241,-100.809844,41.1501671,-100.8101942,41.1509009,-100.8112069,41.1523384,-100.8132165,41.152516,-100.8134922,41.1526959,-100.8137974,41.152855,-100.8140961,41.1529788,-100.8143664,41.1530841,-100.8146068,41.1531915,-100.8148996,41.1532754,-100.8151623,41.1533658,-100.8154585,41.1533675,-100.8522563,41.1533844,-100.8520231,41.153388,-100.8516892,41.1533926,-100.8511296,41.1534267,-100.8469797,41.1534391,-100.8157135,41.1534486,-100.844309,41.1534582,-100.8431348,41.1535064,-100.81605,41.1535207,-100.8361821,41.1535288,-100.8355814,41.1535308,-100.8353144,41.1535431,-100.8349879,41.1535765,-100.8164945,41.1535777,-100.8345882,41.153647,-100.8170053,41.1538665,-100.8311712,41.154299,-100.8219281,41.1543309,-100.82567,41.1543371,-100.8222823,41.1543691,-100.8226489,41.1543792,-100.8250926,41.1543872,-100.8230334,41.1544033,-100.8246266,41.1544113,-100.8234501,41.1544133,-100.8242322,41.1544173,-100.8237841"
baileyYard,137154294,"41.1495477,-100.8089492,41.1497608,-100.8092841,41.1498916,-100.809526,41.1500231,-100.8097189,41.1502712,-100.8100483,41.1510058,-100.8110898,41.1524399,-100.8130949,41.1526218,-100.8133772,41.1528055,-100.813689,41.1529692,-100.8139964,41.1530963,-100.8142736,41.1532047,-100.8145213,41.1533159,-100.8148244,41.1534016,-100.8150928,41.153493,-100.8153921,41.1534945,-100.8437026,41.1535374,-100.8433475,41.1535693,-100.8156577,41.1535806,-100.8429076,41.1536027,-100.842345,41.1536394,-100.816008,41.1536574,-100.8361848,41.1536654,-100.8355839,41.1536674,-100.8353199,41.1536794,-100.8350028,41.1537106,-100.8164595,41.1537135,-100.8346087,41.1537815,-100.8169733,41.1540023,-100.8311914,41.1544339,-100.8218996,41.1544667,-100.8256901,41.1544726,-100.822259,41.1545052,-100.8226328,41.1545153,-100.8251088,41.1545235,-100.8230208,41.1545397,-100.8246359,41.1545478,-100.823441,41.1545499,-100.8242363,41.154554,-100.823783"
baileyYard,137154296,"41.1497597,-100.8096704,41.1499686,-100.8100264,41.1500487,-100.8101633,41.1501443,-100.8103268,41.1502514,-100.8105173,41.1503652,-100.8106999,41.1508074,-100.8113264,41.1522415,-100.8133326,41.152415,-100.813602,41.1525912,-100.8139009,41.1527458,-100.8141913,41.1528667,-100.814455,41.1529689,-100.8146884,41.1530727,-100.8149714,41.1531549,-100.8152287,41.1531989,-100.853662,41.1532107,-100.8534608,41.1532324,-100.8530973,41.153235,-100.8528734,41.1532444,-100.815522,41.1532516,-100.8511255,41.1533147,-100.8157667,41.1533277,-100.8431278,41.1533794,-100.81609,41.1533903,-100.8361795,41.1533983,-100.835579,41.1534004,-100.8353092,41.153413,-100.8349737,41.1534481,-100.8345686,41.1534485,-100.8165279,41.1535186,-100.817036,41.1537368,-100.8311519,41.1541701,-100.8219554,41.1542012,-100.8256508,41.1542077,-100.8223045,41.1542391,-100.8226643,41.1542492,-100.8250771,41.154257,-100.8230455,41.1542729,-100.8246178,41.154281,-100.8234588,41.1542828,-100.8242282,41.1542868,-100.8237852"
baileyYard,137161682,"41.1532465,-100.8695527,41.1532747,-100.8692952,41.1533154,-100.8690325,41.1533941,-100.8686087,41.1534829,-100.8682412,41.1535736,-100.8679165,41.1536827,-100.8675866,41.1538422,-100.8671628,41.1552068,-100.8639781,41.155373,-100.8635526,41.1554881,-100.8632039,41.1555872,-100.8628875,41.1556559,-100.8626247,41.1557124,-100.8623484,41.1557649,-100.8620239,41.1557923,-100.8578733,41.1558072,-100.8617367,41.1558396,-100.8614874,41.1558537,-100.8595266,41.155876,-100.8610207,41.15588,-100.8601919,41.1558861,-100.8606398"
baileyYard,137161725,"41.1405012,-100.7660307,41.1405847,-100.7664166,41.1406291,-100.7666714,41.1407258,-100.7671587,41.1407705,-100.7673849,41.1408231,-100.7676773,41.1408736,-100.768042,41.1409044,-100.7683097,41.1409367,-100.7686718,41.1409746,-100.7691605,41.1409968,-100.7693831,41.1410296,-100.7697072,41.1410902,-100.7702168,41.1411837,-100.7709695,41.1413927,-100.7726528,41.141531,-100.7736884,41.1416162,-100.7743267,41.1417197,-100.7751022,41.1418131,-100.7758017,41.1418517,-100.7760908,41.1440509,-100.7926594,41.1440973,-100.7929276,41.1441604,-100.7932167,41.144215,-100.7934554,41.144249,-100.793618,41.1442655,-100.7936968,41.1443003,-100.7939273"
baileyYard,137161780,"41.1530947,-100.8697736,41.1530954,-100.8695648,41.1531029,-100.8692525,41.1531042,-100.8700537,41.1531204,-100.8703521,41.1531254,-100.8689919,41.1531353,-100.8707949,41.1531368,-100.8688985,41.1531818,-100.8685621,41.1532201,-100.8683455,41.1532841,-100.8680444,41.1533452,-100.8678132,41.1534573,-100.867443,41.1536153,-100.8670275,41.1540094,-100.866216"
